0.308,6.899,1.522
0.157,6.770,1.874
0.027,6.620,2.861
-0.080,6.454,1.002
-0.169,6.275,1.128
-0.167,6.079,1.560
-0.121,5.885,2.304
-0.065,5.694,2.384
0.003,5.508,2.615
0.083,5.325,3.140
0.170,5.146,3.790
0.259,4.968,4.374
0.356,4.794,4.784
0.460,4.624,5.227
0.568,4.457,5.696
0.670,4.286,6.079
0.766,4.111,6.368
0.829,3.923,6.669
0.867,3.728,7.102
0.890,3.530,7.754
0.902,3.331,8.242
0.905,3.132,8.379
0.895,2.934,8.334
0.874,2.736,8.231
0.828,2.542,7.624
0.758,2.356,7.218
0.681,2.172,6.986
0.603,1.988,6.551
0.522,1.806,5.962
0.448,1.621,5.280
0.387,1.432,4.409
0.343,1.238,2.926
0.310,1.042,1.954
0.289,0.848,1.038
0.242,0.666,1.813
0.389,0.522,4.373
0.530,0.390,4.211
0.701,0.285,3.588
0.889,0.225,1.453
1.075,0.153,1.117
1.272,0.128,1.436
1.471,0.140,1.517
1.669,0.157,1.528
1.867,0.175,1.499
2.065,0.198,1.459
2.262,0.227,1.420
2.458,0.263,1.388
2.651,0.309,1.367
2.842,0.366,1.349
3.029,0.435,1.325
3.212,0.513,1.291
3.393,0.597,1.243
3.572,0.683,1.192
3.749,0.774,1.127
3.925,0.865,1.075
4.104,0.954,1.050
4.274,1.058,1.207
4.421,1.191,1.923
4.550,1.343,3.586
4.658,1.510,4.123
4.743,1.690,4.234
4.816,1.875,4.245
4.878,2.064,4.358
4.929,2.257,4.482
4.969,2.452,4.516
5.000,2.649,4.528
5.027,2.846,4.229
5.047,3.043,3.894
5.059,3.242,3.541
5.056,3.441,3.298
5.043,3.640,3.369
5.017,3.837,3.609
4.977,4.032,3.668
4.924,4.224,3.553
4.862,4.413,3.192
4.788,4.597,2.947
4.701,4.776,2.909
4.607,4.951,2.909
4.507,5.123,2.885
4.400,5.291,2.863
4.285,5.454,2.850
4.155,5.605,2.835
4.002,5.732,2.841
3.838,5.845,2.863
3.670,5.951,2.937
3.499,6.053,3.064
3.326,6.153,3.165
3.155,6.254,3.172
2.982,6.353,3.164
2.806,6.446,3.145
2.628,6.534,3.093
2.446,6.618,3.048
2.261,6.692,2.822
2.073,6.757,1.965
1.883,6.816,1.045
1.690,6.862,1.040
1.494,6.899,1.089
1.299,6.934,1.394
1.100,6.942,2.726
0.900,6.947,3.001
0.700,6.947,1.631
0.505,6.922,1.179
